"Name","WhenCreated","WhenChanged","DistinguishedName","UserPrincipalName","LastLogonTimestamp","pwdlastset","BadPasswordTime","sAMAccountName","objectSID","Description","Mail","proxyAddresses","ObjectClass","OjectGUID","OperatingSystem","DNSHostName","Enabled","SID"
"WSLMAIN","12.03.2013 21:38:08","08.07.2022 22:30:55","CN=WSLMAIN,OU=SBSComputers,OU=Computers,OU=MyBusiness,DC=wsl-patent,DC=local",,"2022-07-08 22:30:55","2022-06-13 13:58:44","","WSLMAIN$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","86c757aa-aaad-4792-99ef-aa8f42b5fe7a","Windows® Small Business Server 2011 Standard","WSLMAIN.wsl-patent.local","True","S-1-5-21-2925820822-1397182803-1472694261-1014"
"WSL-BACKUP","29.03.2013 14:34:15","19.12.2019 17:09:57","CN=WSL-BACKUP,OU=SBSServers,OU=Computers,OU=MyBusiness,DC=wsl-patent,DC=local",,"2015-08-01 00:36:44","2015-07-28 07:43:17","","WSL-BACKUP$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","5127609d-edac-4c8c-96ed-016e1d76e875","Windows Server 2003","wsl-backup.wsl-patent.local","True","S-1-5-21-2925820822-1397182803-1472694261-1210"
"WSL136","29.03.2013 20:34:36","13.11.2020 21:49:20","CN=WSL136,OU=SBSComputers,OU=Computers,OU=MyBusiness,DC=wsl-patent,DC=local",,"2013-07-25 11:00:29","2013-07-25 11:06:56","","WSL136$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","a6e1c695-05ed-45f5-84ce-79ac604c3684","Windows XP Professional","WSL136.wsl-patent.local","True","S-1-5-21-2925820822-1397182803-1472694261-1213"
"TEST-WTS","04.04.2013 13:39:27","19.12.2019 17:09:57","CN=TEST-WTS,OU=WTS,DC=wsl-patent,DC=local",,"2013-08-29 19:00:25","2013-08-05 12:47:28","","TEST-WTS$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","f29cb584-9f4e-4323-8f0e-cb3ef04d93de","Windows Server 2008 R2 Standard","TEST-WTS.wsl-patent.local","True","S-1-5-21-2925820822-1397182803-1472694261-1221"
"TESTWTS2","23.06.2013 22:20:57","19.12.2019 17:09:57","CN=TESTWTS2,OU=WTS,DC=wsl-patent,DC=local",,"2013-12-29 15:21:17","2013-12-24 15:01:58","","TESTWTS2$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","202ed0bf-3002-43f8-80bf-28ea6f3b2dcb","Windows Server 2008 R2 Standard","TESTWTS2.wsl-patent.local","True","S-1-5-21-2925820822-1397182803-1472694261-1228"
"WSLTERM2","18.03.2013 21:54:23","19.12.2019 17:09:57","CN=WSLTERM2,OU=WTS,DC=wsl-patent,DC=local",,"2014-02-04 19:55:20","2014-01-19 11:32:26","","WSLTERM2$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","b427d7f2-8d59-4bb7-b718-b3da222ed36f","Windows Server 2008 R2 Standard","WSLTERM2.wsl-patent.local","True","S-1-5-21-2925820822-1397182803-1472694261-1170"
"WSL124","29.03.2013 15:13:16","13.11.2020 21:49:20","CN=WSL124,OU=SBSComputers,OU=Computers,OU=MyBusiness,DC=wsl-patent,DC=local",,"2014-10-10 12:55:14","2014-10-10 12:55:15","","WSL124$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","57ea9e4d-26af-40e7-8299-66cec426c11b","Windows XP Professional","WSL124.wsl-patent.local","True","S-1-5-21-2925820822-1397182803-1472694261-1211"
"RW-THINK","04.04.2013 09:57:50","19.12.2019 17:09:57","CN=RW-THINK,OU=PCs,DC=wsl-patent,DC=local",,"2015-12-16 13:27:50","2014-10-06 08:09:26","","RW-THINK$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","d62c09a4-7dc8-407b-96d4-8e7af7fede50","Windows 7 Professional","RW-THINK.wsl-patent.local","True","S-1-5-21-2925820822-1397182803-1472694261-1219"
"NB-WSL-LI","04.04.2013 11:19:00","19.12.2019 17:09:57","CN=NB-WSL-LI,OU=PCs,DC=wsl-patent,DC=local",,"2016-02-04 11:12:57","2016-01-25 10:11:06","","NB-WSL-LI$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","b2371c91-128c-4f75-9055-a962bf3111b1","Windows 7 Professional","NB-WSL-LI.wsl-patent.local","True","S-1-5-21-2925820822-1397182803-1472694261-1220"
"NB-WSL-KOE","02.04.2013 16:58:02","19.12.2019 17:09:57","CN=NB-WSL-KOE,OU=PCs,DC=wsl-patent,DC=local",,"2016-03-24 17:34:00","2016-03-24 17:34:01","","NB-WSL-KOE$",,,,"Microsoft.ActiveDirectory.Management.ADPropertyValueCollection","computer","98473144-913b-4ed3-9ba2-434b2e5441b3","Windows 7 Professional","NB-WSL-KOE.wsl-patent.local","True","S-1-5-21-2925820822-1397182803-1472694261-1218"
